cohort,novel,qi,qid,gold,G1,G2,G3,G4,G5,B1,B2,B3,Q0,correct_G1,correct_G2,correct_G3,correct_G4,correct_G5,correct_B1,correct_B2,correct_B3,correct_Q0,graph_sha256,source_signature
old20,15,0,detectiveqa_15_AIsup_anno_0,D,D,D,D,D,D,D,D,D,D,True,True,True,True,True,True,True,True,True,0993a8c732dcb39bff895c98d9da97c038ad4f36e2bd84af5eb6d6784f5372af,"{""G1_G3"": ""dqa_local_c24_pure9_consensus20 upstream prediction caches"", ""G4"": ""deterministic majority(G1,G2,G3); no baseline access"", ""G5"": ""outputs\\four_datasets\\dqa30_attention\\g7_pure_graph_tight\\answers\\15\\q00.json"", ""baselines"": ""outputs\\four_datasets\\dqa30_frozen_old20_baselines9b\\answers\\15\\q00.json""}"
old20,15,1,detectiveqa_15_AIsup_anno_1,A,B,B,A,B,A,B,B,B,C,False,False,True,False,True,False,False,False,False,0993a8c732dcb39bff895c98d9da97c038ad4f36e2bd84af5eb6d6784f5372af,"{""G1_G3"": ""dqa_local_c24_pure9_consensus20 upstream prediction caches"", ""G4"": ""deterministic majority(G1,G2,G3); no baseline access"", ""G5"": ""outputs\\four_datasets\\dqa30_attention\\g7_pure_graph_tight\\answers\\15\\q01.json"", ""baselines"": ""outputs\\four_datasets\\dqa30_frozen_old20_baselines9b\\answers\\15\\q01.json""}"
old20,15,2,detectiveqa_15_AIsup_anno_2,C,C,A,A,A,C,C,C,C,A,True,False,False,False,True,True,True,True,False,0993a8c732dcb39bff895c98d9da97c038ad4f36e2bd84af5eb6d6784f5372af,"{""G1_G3"": ""dqa_local_c24_pure9_consensus20 upstream prediction caches"", ""G4"": ""deterministic majority(G1,G2,G3); no baseline access"", ""G5"": ""outputs\\four_datasets\\dqa30_attention\\g7_pure_graph_tight\\answers\\15\\q02.json"", ""baselines"": ""outputs\\four_datasets\\dqa30_frozen_old20_baselines9b\\answers\\15\\q02.json""}"
old20,15,3,detectiveqa_15_AIsup_anno_3,D,C,C,D,C,C,C,C,C,C,False,False,True,False,False,False,False,False,False,0993a8c732dcb39bff895c98d9da97c038ad4f36e2bd84af5eb6d6784f5372af,"{""G1_G3"": ""dqa_local_c24_pure9_consensus20 upstream prediction caches"", ""G4"": ""deterministic majority(G1,G2,G3); no baseline access"", ""G5"": ""outputs\\four_datasets\\dqa30_attention\\g7_pure_graph_tight\\answers\\15\\q03.json"", ""baselines"": ""outputs\\four_datasets\\dqa30_frozen_old20_baselines9b\\answers\\15\\q03.json""}"
old20,15,4,detectiveqa_15_AIsup_anno_4,B,B,C,C,C,A,C,B,B,C,True,False,False,False,False,False,True,True,False,0993a8c732dcb39bff895c98d9da97c038ad4f36e2bd84af5eb6d6784f5372af,"{""G1_G3"": ""dqa_local_c24_pure9_consensus20 upstream prediction caches"", ""G4"": ""deterministic majority(G1,G2,G3); no baseline access"", ""G5"": ""outputs\\four_datasets\\dqa30_attention\\g7_pure_graph_tight\\answers\\15\\q04.json"", ""baselines"": ""outputs\\four_datasets\\dqa30_frozen_old20_baselines9b\\answers\\15\\q04.json""}"
old20,15,5,detectiveqa_15_AIsup_anno_5,D,D,D,D,D,D,D,D,D,D,True,True,True,True,True,True,True,True,True,0993a8c732dcb39bff895c98d9da97c038ad4f36e2bd84af5eb6d6784f5372af,"{""G1_G3"": ""dqa_local_c24_pure9_consensus20 upstream prediction caches"", ""G4"": ""deterministic majority(G1,G2,G3); no baseline access"", ""G5"": ""outputs\\four_datasets\\dqa30_attention\\g7_pure_graph_tight\\answers\\15\\q05.json"", ""baselines"": ""outputs\\four_datasets\\dqa30_frozen_old20_baselines9b\\answers\\15\\q05.json""}"
old20,15,6,detectiveqa_15_AIsup_anno_6,D,D,D,D,D,D,D,D,D,D,True,True,True,True,True,True,True,True,True,0993a8c732dcb39bff895c98d9da97c038ad4f36e2bd84af5eb6d6784f5372af,"{""G1_G3"": ""dqa_local_c24_pure9_consensus20 upstream prediction caches"", ""G4"": ""deterministic majority(G1,G2,G3); no baseline access"", ""G5"": ""outputs\\four_datasets\\dqa30_attention\\g7_pure_graph_tight\\answers\\15\\q06.json"", ""baselines"": ""outputs\\four_datasets\\dqa30_frozen_old20_baselines9b\\answers\\15\\q06.json""}"
old20,15,7,detectiveqa_15_AIsup_anno_7,C,C,C,D,C,D,C,C,D,D,True,True,False,True,False,True,True,False,False,0993a8c732dcb39bff895c98d9da97c038ad4f36e2bd84af5eb6d6784f5372af,"{""G1_G3"": ""dqa_local_c24_pure9_consensus20 upstream prediction caches"", ""G4"": ""deterministic majority(G1,G2,G3); no baseline access"", ""G5"": ""outputs\\four_datasets\\dqa30_attention\\g7_pure_graph_tight\\answers\\15\\q07.json"", ""baselines"": ""outputs\\four_datasets\\dqa30_frozen_old20_baselines9b\\answers\\15\\q07.json""}"
old20,15,8,detectiveqa_15_AIsup_anno_8,C,A,A,C,A,C,C,D,D,D,False,False,True,False,True,True,False,False,False,0993a8c732dcb39bff895c98d9da97c038ad4f36e2bd84af5eb6d6784f5372af,"{""G1_G3"": ""dqa_local_c24_pure9_consensus20 upstream prediction caches"", ""G4"": ""deterministic majority(G1,G2,G3); no baseline access"", ""G5"": ""outputs\\four_datasets\\dqa30_attention\\g7_pure_graph_tight\\answers\\15\\q08.json"", ""baselines"": ""outputs\\four_datasets\\dqa30_frozen_old20_baselines9b\\answers\\15\\q08.json""}"
old20,16,0,detectiveqa_16_AIsup_anno_0,C,C,C,A,C,A,B,C,A,B,True,True,False,True,False,False,True,False,False,0d02ea8dfae906504e44eb3b450e1d077b11d74fe7aedb866d430b33c757e0ed,"{""G1_G3"": ""dqa_local_c24_pure9_consensus20 upstream prediction caches"", ""G4"": ""deterministic majority(G1,G2,G3); no baseline access"", ""G5"": ""outputs\\four_datasets\\dqa30_attention\\g7_pure_graph_tight\\answers\\16\\q00.json"", ""baselines"": ""outputs\\four_datasets\\dqa30_frozen_old20_baselines9b\\answers\\16\\q00.json""}"
