novel,qi,qid,gold,G1,G2,G3,G4,G5,B1,B2,B3,Q0,option_order_unanimous,graph_retrieved_chunks,graph_relation_hints,rag_retrieved_chunks,g4_route,g5_route
100,0,detectiveqa_100_AIsup_anno_0,D,D,D,D,D,D,C,C,D,C,True,9,8,9,graph_stable,graph_majority
100,1,detectiveqa_100_AIsup_anno_1,A,A,A,A,A,A,A,A,A,A,True,9,8,9,graph_stable,graph_majority
100,2,detectiveqa_100_AIsup_anno_2,C,C,C,C,C,C,C,C,C,C,True,6,8,6,graph_stable,graph_majority
100,3,detectiveqa_100_AIsup_anno_3,C,C,C,D,C,C,D,D,C,C,False,6,8,6,graph_stable,graph_majority
100,4,detectiveqa_100_AIsup_anno_4,C,C,C,C,C,C,C,C,C,C,True,8,8,8,graph_stable,graph_majority
100,5,detectiveqa_100_AIsup_anno_5,D,A,A,A,A,A,D,A,C,B,True,4,8,4,graph_stable,graph_majority
100,6,detectiveqa_100_AIsup_anno_6,C,D,D,D,D,D,D,D,D,C,True,6,8,6,graph_stable,graph_majority
100,7,detectiveqa_100_AIsup_anno_7,D,D,A,A,D,A,D,D,D,A,False,5,8,5,tail_fallback,graph_majority
103,0,detectiveqa_103_AIsup_anno_0,C,C,C,C,C,C,B,B,C,C,True,3,8,3,graph_stable,graph_majority
103,1,detectiveqa_103_AIsup_anno_1,A,B,B,A,B,B,B,B,B,B,False,4,8,4,graph_stable,graph_majority
103,2,detectiveqa_103_AIsup_anno_2,A,A,A,A,A,A,A,A,B,A,True,4,8,4,graph_stable,graph_majority
103,3,detectiveqa_103_AIsup_anno_3,B,D,D,D,D,D,C,B,D,C,True,5,8,5,graph_stable,graph_majority
103,4,detectiveqa_103_AIsup_anno_4,A,A,A,A,A,A,C,A,A,B,True,6,8,6,graph_stable,graph_majority
103,5,detectiveqa_103_AIsup_anno_5,B,C,B,C,B,C,B,B,C,B,False,7,8,7,tail_fallback,graph_majority
104,0,detectiveqa_104_AIsup_anno_0,D,D,A,D,A,D,A,A,D,A,False,6,8,6,tail_fallback,graph_majority
104,1,detectiveqa_104_AIsup_anno_1,A,D,B,D,D,D,D,D,D,A,False,6,8,6,tail_fallback,graph_majority
104,2,detectiveqa_104_AIsup_anno_2,D,D,D,D,D,D,B,D,D,D,True,5,8,5,graph_stable,graph_majority
104,3,detectiveqa_104_AIsup_anno_3,C,A,A,A,A,A,A,A,A,B,True,6,8,6,graph_stable,graph_majority
104,4,detectiveqa_104_AIsup_anno_4,D,C,C,C,C,C,C,D,C,C,True,4,8,4,graph_stable,graph_majority
104,5,detectiveqa_104_AIsup_anno_5,D,C,C,C,C,C,C,C,C,C,True,4,8,4,graph_stable,graph_majority
104,6,detectiveqa_104_AIsup_anno_6,C,C,C,C,C,C,C,C,C,C,True,4,8,4,graph_stable,graph_majority
104,7,detectiveqa_104_AIsup_anno_7,D,D,B,D,B,D,B,D,D,A,False,7,8,7,tail_fallback,graph_majority
105,0,detectiveqa_105_AIsup_anno_0,D,C,D,A,C,C,C,D,C,A,False,6,8,6,tail_fallback,tail_fallback
105,1,detectiveqa_105_AIsup_anno_1,D,D,D,D,D,D,D,A,D,D,True,8,8,8,graph_stable,graph_majority
105,2,detectiveqa_105_AIsup_anno_2,D,B,A,A,B,A,B,B,A,B,False,5,8,5,tail_fallback,graph_majority
105,3,detectiveqa_105_AIsup_anno_3,A,A,B,A,A,A,A,A,A,A,False,7,8,7,tail_fallback,graph_majority
105,4,detectiveqa_105_AIsup_anno_4,D,A,A,A,A,A,D,D,D,A,True,7,8,7,graph_stable,graph_majority
105,5,detectiveqa_105_AIsup_anno_5,D,D,D,D,D,D,D,D,D,D,True,5,8,5,graph_stable,graph_majority
105,6,detectiveqa_105_AIsup_anno_6,D,B,B,B,B,B,A,A,B,C,True,6,8,6,graph_stable,graph_majority
106,0,detectiveqa_106_AIsup_anno_0,C,B,B,B,B,B,C,C,C,C,True,4,8,4,graph_stable,graph_majority
106,1,detectiveqa_106_AIsup_anno_1,A,A,A,A,A,A,A,A,A,A,True,6,8,6,graph_stable,graph_majority
106,2,detectiveqa_106_AIsup_anno_2,C,C,C,B,C,C,B,C,C,C,False,8,8,8,graph_stable,graph_majority
106,3,detectiveqa_106_AIsup_anno_3,A,A,B,A,D,A,D,D,A,A,False,6,8,6,tail_fallback,graph_majority
106,4,detectiveqa_106_AIsup_anno_4,D,B,D,D,D,D,D,C,B,C,False,6,8,6,tail_fallback,graph_majority
106,5,detectiveqa_106_AIsup_anno_5,C,C,C,C,C,C,C,C,C,C,True,6,8,6,graph_stable,graph_majority
106,6,detectiveqa_106_AIsup_anno_6,D,D,B,D,D,D,D,D,D,B,False,4,8,4,tail_fallback,graph_majority
107,0,detectiveqa_107_AIsup_anno_0,C,D,D,D,D,D,C,C,D,D,True,5,8,5,graph_stable,graph_majority
107,1,detectiveqa_107_AIsup_anno_1,A,D,B,D,D,D,D,D,D,B,False,8,8,8,tail_fallback,graph_majority
107,2,detectiveqa_107_AIsup_anno_2,B,B,B,D,B,B,D,C,C,C,False,9,8,9,graph_stable,graph_majority
107,3,detectiveqa_107_AIsup_anno_3,B,D,D,D,D,D,D,B,D,A,True,6,8,6,graph_stable,graph_majority
107,4,detectiveqa_107_AIsup_anno_4,C,A,B,A,A,A,A,A,A,A,False,3,8,3,tail_fallback,graph_majority
107,5,detectiveqa_107_AIsup_anno_5,C,C,C,C,C,C,C,C,C,C,True,5,8,5,graph_stable,graph_majority
107,6,detectiveqa_107_AIsup_anno_6,B,B,B,B,B,B,B,B,B,B,True,6,8,6,graph_stable,graph_majority
107,7,detectiveqa_107_AIsup_anno_7,B,D,D,A,D,D,D,B,D,B,False,7,8,7,graph_stable,graph_majority
107,8,detectiveqa_107_AIsup_anno_8,A,D,D,D,D,D,A,A,D,D,True,6,8,6,graph_stable,graph_majority
107,9,detectiveqa_107_AIsup_anno_9,B,D,B,B,D,B,D,D,D,D,False,5,8,5,tail_fallback,graph_majority
108,0,detectiveqa_108_AIsup_anno_0,C,A,A,A,A,A,A,A,A,C,True,6,8,6,graph_stable,graph_majority
108,1,detectiveqa_108_AIsup_anno_1,B,B,B,B,B,B,B,B,B,B,True,8,8,8,graph_stable,graph_majority
108,2,detectiveqa_108_AIsup_anno_2,A,A,A,A,A,A,A,A,C,A,True,6,8,6,graph_stable,graph_majority
108,3,detectiveqa_108_AIsup_anno_3,A,A,D,D,D,D,D,C,A,A,False,4,8,4,tail_fallback,graph_majority
108,4,detectiveqa_108_AIsup_anno_4,A,A,A,A,A,A,B,B,A,B,True,7,8,7,graph_stable,graph_majority
108,5,detectiveqa_108_AIsup_anno_5,A,A,A,A,A,A,A,C,A,C,True,3,8,3,graph_stable,graph_majority
93,0,detectiveqa_93_AIsup_anno_0,A,D,C,D,D,D,D,C,D,C,False,8,8,8,tail_fallback,graph_majority
93,1,detectiveqa_93_AIsup_anno_1,A,B,B,B,B,B,B,D,B,A,True,7,8,7,graph_stable,graph_majority
93,2,detectiveqa_93_AIsup_anno_2,A,D,D,D,D,D,B,D,D,D,True,3,8,3,graph_stable,graph_majority
93,3,detectiveqa_93_AIsup_anno_3,C,D,D,D,D,D,C,D,D,B,True,7,8,7,graph_stable,graph_majority
93,4,detectiveqa_93_AIsup_anno_4,B,C,C,C,C,C,D,A,C,C,True,6,8,6,graph_stable,graph_majority
93,5,detectiveqa_93_AIsup_anno_5,A,C,C,C,C,C,C,A,C,B,True,6,8,6,graph_stable,graph_majority
93,6,detectiveqa_93_AIsup_anno_6,D,D,A,D,D,D,D,C,D,D,False,7,8,7,tail_fallback,graph_majority
97,0,detectiveqa_97_AIsup_anno_0,A,D,D,D,D,D,D,A,D,A,True,8,8,8,graph_stable,graph_majority
97,1,detectiveqa_97_AIsup_anno_1,B,A,D,D,D,D,D,A,A,A,False,8,8,8,tail_fallback,graph_majority
97,2,detectiveqa_97_AIsup_anno_2,B,B,B,B,B,B,C,B,B,B,True,10,8,10,graph_stable,graph_majority
97,3,detectiveqa_97_AIsup_anno_3,A,A,A,A,A,A,D,C,A,C,True,6,8,6,graph_stable,graph_majority
97,4,detectiveqa_97_AIsup_anno_4,C,C,B,A,D,D,D,A,C,C,False,8,8,8,tail_fallback,tail_fallback
99,0,detectiveqa_99_AIsup_anno_0,A,A,A,A,A,A,A,A,A,A,True,6,8,6,graph_stable,graph_majority
99,1,detectiveqa_99_AIsup_anno_1,A,A,A,A,A,A,C,A,A,C,True,5,8,5,graph_stable,graph_majority
99,2,detectiveqa_99_AIsup_anno_2,B,D,A,B,B,B,B,B,D,B,False,8,8,8,tail_fallback,tail_fallback
99,3,detectiveqa_99_AIsup_anno_3,D,B,D,A,B,B,B,D,B,B,False,7,8,7,tail_fallback,tail_fallback
99,4,detectiveqa_99_AIsup_anno_4,D,D,A,D,D,D,D,C,D,A,False,9,8,9,tail_fallback,graph_majority
99,5,detectiveqa_99_AIsup_anno_5,C,D,B,B,D,B,D,B,B,B,False,5,8,5,tail_fallback,graph_majority
